-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 08/15/1994 through 08/15/2024 
Location: Latitude  40.7417   Longitude 22.8516 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 233.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,WS10M,WD10M,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF
1994,11,4,14.1,7.93,4.47,87.0,-999.0,-999.0
1994,11,5,9.61,4.82,4.76,85.25,-999.0,-999.0
1994,11,6,5.94,3.78,4.27,101.81,-999.0,-999.0
1994,11,7,6.27,5.13,2.91,100.25,-999.0,-999.0
1994,11,8,10.07,7.2,3.73,101.44,-999.0,-999.0
1994,11,9,12.0,8.0,1.84,135.62,-999.0,-999.0
1994,11,10,12.61,7.87,1.91,196.0,-999.0,-999.0
1994,11,11,14.99,9.09,3.38,188.44,-999.0,-999.0
1994,11,12,13.49,9.34,2.92,117.0,-999.0,-999.0
1994,11,13,10.14,6.23,2.79,42.12,-999.0,-999.0
1994,11,14,6.97,5.13,2.11,109.75,-999.0,-999.0
1994,11,15,7.78,4.76,1.59,199.0,-999.0,-999.0
1994,11,16,10.19,5.25,1.38,275.56,-999.0,-999.0
1994,11,17,9.17,6.47,1.62,226.12,-999.0,-999.0
1994,11,18,9.37,6.29,2.77,66.38,-999.0,-999.0
1994,11,19,7.87,5.49,2.81,191.0,-999.0,-999.0
1994,11,20,4.89,3.72,3.83,93.94,-999.0,-999.0
1994,11,21,4.5,3.48,3.48,300.56,-999.0,-999.0
1994,11,22,8.49,5.43,2.7,199.19,-999.0,-999.0
1994,11,23,8.16,4.94,1.81,246.88,-999.0,-999.0
1994,11,24,7.27,4.39,1.73,301.0,-999.0,-999.0
1994,11,25,8.51,5.0,6.33,319.81,-999.0,-999.0
1994,11,26,5.87,3.85,6.29,331.81,-999.0,-999.0
1994,11,27,2.01,2.69,3.37,335.69,-999.0,-999.0
1994,11,28,2.85,2.81,2.94,269.0,-999.0,-999.0
1994,11,29,4.03,3.78,4.59,318.25,-999.0,-999.0
1994,11,30,6.29,4.09,5.88,324.44,-999.0,-999.0
1994,12,1,2.68,3.23,4.49,250.62,-999.0,-999.0
1994,12,2,0.64,2.62,3.09,234.56,-999.0,-999.0
1994,12,3,1.62,2.62,3.78,322.06,-999.0,-999.0
1994,12,4,3.81,3.05,2.49,314.5,-999.0,-999.0
1994,12,5,6.01,4.46,2.28,259.25,-999.0,-999.0
1994,12,6,7.25,5.07,1.8,298.69,-999.0,-999.0
1994,12,7,7.21,5.68,2.69,326.38,-999.0,-999.0
1994,12,8,6.51,5.37,2.02,175.75,-999.0,-999.0
1994,12,9,7.68,5.86,1.47,184.31,-999.0,-999.0
1994,12,10,8.1,6.35,1.59,208.88,-999.0,-999.0
1994,12,11,7.9,5.43,2.2,197.06,-999.0,-999.0
1994,12,12,7.9,5.13,4.68,311.38,-999.0,-999.0
1994,12,13,8.56,5.31,5.03,318.0,-999.0,-999.0
1994,12,14,8.33,5.49,2.55,274.0,-999.0,-999.0
1994,12,15,3.28,3.85,4.98,174.06,-999.0,-999.0
1994,12,16,0.54,2.62,3.48,310.81,-999.0,-999.0
1994,12,17,0.73,2.62,4.2,324.88,-999.0,-999.0
1994,12,18,1.53,3.11,3.95,267.88,-999.0,-999.0
1994,12,19,1.94,3.05,1.55,71.62,-999.0,-999.0
1994,12,20,2.49,3.85,4.2,106.62,-999.0,-999.0
1994,12,21,3.99,4.88,7.46,98.69,-999.0,-999.0
1994,12,22,4.96,5.19,2.82,24.94,-999.0,-999.0
1994,12,23,6.04,5.74,5.2,70.75,-999.0,-999.0
1994,12,24,10.48,7.32,5.66,125.38,-999.0,-999.0
1994,12,25,8.78,6.71,2.45,191.19,-999.0,-999.0
1994,12,26,10.0,7.2,3.65,144.69,-999.0,-999.0
1994,12,27,4.26,4.27,6.78,330.62,-999.0,-999.0
1994,12,28,2.9,3.72,3.12,316.31,-999.0,-999.0
1994,12,29,5.77,4.03,1.87,289.0,-999.0,-999.0
1994,12,30,7.02,4.64,1.27,191.25,-999.0,-999.0
1994,12,31,9.78,6.96,2.64,227.25,-999.0,-999.0
1995,1,1,12.56,8.18,3.79,221.69,-999.0,-999.0
1995,1,2,12.82,7.75,4.12,251.38,-999.0,-999.0
1995,1,3,6.17,5.13,5.59,151.06,-999.0,-999.0
1995,1,4,4.67,4.94,4.93,73.12,-999.0,-999.0
1995,1,5,2.81,4.21,4.66,119.19,-999.0,-999.0
1995,1,6,3.7,4.76,6.33,77.0,-999.0,-999.0
1995,1,7,4.05,4.76,2.96,189.5,-999.0,-999.0
1995,1,8,3.75,4.58,3.27,51.31,-999.0,-999.0
1995,1,9,3.23,4.27,5.3,73.06,-999.0,-999.0
1995,1,10,2.69,3.78,1.31,135.75,-999.0,-999.0
1995,1,11,3.83,3.97,2.22,290.25,-999.0,-999.0
1995,1,12,4.15,4.15,3.55,269.62,-999.0,-999.0
1995,1,13,1.23,3.54,3.52,198.25,-999.0,-999.0
1995,1,14,-0.3,3.23,11.02,55.25,-999.0,-999.0
1995,1,15,-1.6,2.81,5.8,22.75,-999.0,-999.0
1995,1,16,-3.48,2.26,3.03,316.94,-999.0,-999.0
1995,1,17,-2.7,2.38,2.86,268.12,-999.0,-999.0
1995,1,18,-0.05,3.23,1.59,74.94,-999.0,-999.0
1995,1,19,1.61,3.97,4.58,90.56,-999.0,-999.0
1995,1,20,0.94,3.72,6.06,63.19,-999.0,-999.0
1995,1,21,0.36,3.3,2.62,72.0,-999.0,-999.0
1995,1,22,1.8,3.85,1.49,142.19,-999.0,-999.0
1995,1,23,4.38,4.46,1.6,308.94,-999.0,-999.0
1995,1,24,4.83,5.13,2.5,289.19,-999.0,-999.0
1995,1,25,5.36,3.85,3.41,262.81,-999.0,-999.0
1995,1,26,7.54,5.55,2.12,260.19,-999.0,-999.0
1995,1,27,9.55,6.59,4.06,209.75,-999.0,-999.0
1995,1,28,4.16,3.17,5.1,296.12,-999.0,-999.0
1995,1,29,5.02,3.48,0.82,151.06,-999.0,-999.0
1995,1,30,6.45,4.76,2.25,258.88,-999.0,-999.0
1995,1,31,9.03,6.77,2.04,128.19,-999.0,-999.0
1995,2,1,5.76,4.76,3.66,228.62,-999.0,-999.0
1995,2,2,6.3,4.94,1.37,205.94,-999.0,-999.0
1995,2,3,5.87,4.7,3.77,270.31,-999.0,-999.0
1995,2,4,2.19,3.05,3.51,90.5,-999.0,-999.0
1995,2,5,2.01,3.23,3.48,252.75,-999.0,-999.0
1995,2,6,3.12,3.42,5.65,334.75,-999.0,-999.0
1995,2,7,3.83,4.09,3.63,312.88,-999.0,-999.0
1995,2,8,7.19,4.94,2.35,263.81,-999.0,-999.0
1995,2,9,8.02,5.55,2.77,252.62,-999.0,-999.0
1995,2,10,9.34,6.84,2.82,270.88,-999.0,-999.0
1995,2,11,6.58,5.49,2.2,225.62,-999.0,-999.0
1995,2,12,7.27,5.68,1.41,186.75,-999.0,-999.0
1995,2,13,8.58,5.25,1.8,258.88,-999.0,-999.0
1995,2,14,8.42,5.55,2.05,92.56,-999.0,-999.0
1995,2,15,6.81,5.0,3.02,99.88,-999.0,-999.0
1995,2,16,6.09,5.13,2.62,128.12,-999.0,-999.0
1995,2,17,6.23,5.37,2.27,169.56,-999.0,-999.0
1995,2,18,8.3,5.98,1.38,160.88,-999.0,-999.0
1995,2,19,9.55,6.35,5.12,226.62,-999.0,-999.0
1995,2,20,6.45,4.15,4.59,319.31,-999.0,-999.0
1995,2,21,8.36,4.82,2.55,280.44,-999.0,-999.0
1995,2,22,10.18,6.35,1.91,137.5,-999.0,-999.0
1995,2,23,9.64,6.41,2.25,102.5,-999.0,-999.0
1995,2,24,9.61,6.23,2.41,223.88,-999.0,-999.0
1995,2,25,9.94,6.77,3.3,190.75,-999.0,-999.0
1995,2,26,10.68,6.59,2.19,221.38,-999.0,-999.0
1995,2,27,11.92,7.26,2.29,185.38,-999.0,-999.0
1995,2,28,11.37,6.53,2.15,292.62,-999.0,-999.0
1995,3,1,8.62,5.55,2.06,120.75,-999.0,-999.0
1995,3,2,8.38,6.04,2.05,99.75,-999.0,-999.0
1995,3,3,10.5,7.02,4.51,151.38,-999.0,-999.0
1995,3,4,10.51,6.35,2.55,190.75,-999.0,-999.0
1995,3,5,11.03,7.08,4.3,148.69,-999.0,-999.0
1995,3,6,8.68,5.43,2.87,288.5,-999.0,-999.0
1995,3,7,8.28,5.31,2.53,231.81,-999.0,-999.0
1995,3,8,7.7,4.88,5.2,307.69,-999.0,-999.0
1995,3,9,7.51,4.46,2.48,221.69,-999.0,-999.0
1995,3,10,8.27,5.25,3.3,154.12,-999.0,-999.0
1995,3,11,7.13,5.13,1.91,136.69,-999.0,-999.0
1995,3,12,8.4,4.94,1.26,264.62,-999.0,-999.0
1995,3,13,4.63,4.58,7.23,97.88,-999.0,-999.0
1995,3,14,1.41,3.66,7.24,60.56,-999.0,-999.0
1995,3,15,3.14,3.97,1.9,47.81,-999.0,-999.0
1995,3,16,6.19,4.52,2.16,225.75,-999.0,-999.0
1995,3,17,8.59,5.55,1.66,215.62,-999.0,-999.0
1995,3,18,10.29,5.92,1.8,238.69,-999.0,-999.0
1995,3,19,10.62,5.86,2.77,246.56,-999.0,-999.0
1995,3,20,11.52,6.47,3.06,247.0,-999.0,-999.0
1995,3,21,7.31,4.15,6.62,310.25,-999.0,-999.0
1995,3,22,5.45,3.72,2.24,86.62,-999.0,-999.0
1995,3,23,4.8,3.54,3.05,161.0,-999.0,-999.0
1995,3,24,3.53,2.93,2.6,163.25,-999.0,-999.0
1995,3,25,6.84,4.21,3.51,292.94,-999.0,-999.0
1995,3,26,10.36,5.8,3.1,268.75,-999.0,-999.0
1995,3,27,11.44,5.74,3.96,258.0,-999.0,-999.0
1995,3,28,12.57,6.47,6.06,209.81,-999.0,-999.0
1995,3,29,7.2,3.78,5.45,286.56,-999.0,-999.0
1995,3,30,9.08,5.86,6.24,172.12,-999.0,-999.0
1995,3,31,5.29,3.91,3.8,200.25,-999.0,-999.0
1995,4,1,4.3,3.42,2.52,226.75,-999.0,-999.0
1995,4,2,6.01,3.78,5.29,325.25,-999.0,-999.0
1995,4,3,10.45,5.68,4.57,315.44,-999.0,-999.0
1995,4,4,13.83,5.92,3.12,279.5,-999.0,-999.0
1995,4,5,15.62,5.98,2.91,282.75,-999.0,-999.0
1995,4,6,14.23,7.39,2.7,113.69,-999.0,-999.0
1995,4,7,15.11,7.45,2.16,223.81,-999.0,-999.0
1995,4,8,14.34,7.26,2.36,255.0,-999.0,-999.0
1995,4,9,7.65,3.91,7.2,329.94,-999.0,-999.0
1995,4,10,5.92,3.48,6.65,325.38,-999.0,-999.0
1995,4,11,7.77,3.78,3.21,288.5,-999.0,-999.0
1995,4,12,7.36,5.13,2.74,247.62,-999.0,-999.0
1995,4,13,7.98,4.94,2.06,111.31,-999.0,-999.0
1995,4,14,9.15,5.13,2.6,182.25,-999.0,-999.0
1995,4,15,9.46,5.37,3.03,128.25,-999.0,-999.0
1995,4,16,7.52,5.74,3.4,131.75,-999.0,-999.0
1995,4,17,9.91,5.43,3.57,280.06,-999.0,-999.0
1995,4,18,10.36,4.76,5.16,317.5,-999.0,-999.0
1995,4,19,12.4,5.13,2.77,245.56,-999.0,-999.0
1995,4,20,14.08,6.59,2.11,153.44,-999.0,-999.0
1995,4,21,15.71,6.1,1.74,147.88,-999.0,-999.0
1995,4,22,17.09,6.35,1.8,167.25,-999.0,-999.0
1995,4,23,17.83,7.14,2.19,142.06,-999.0,-999.0
1995,4,24,14.23,8.0,3.2,124.31,-999.0,-999.0
1995,4,25,13.87,8.24,4.41,120.75,-999.0,-999.0
1995,4,26,15.0,7.02,4.51,221.69,-999.0,-999.0
1995,4,27,13.75,6.16,3.71,258.12,-999.0,-999.0
1995,4,28,14.72,6.1,2.92,294.38,-999.0,-999.0
1995,4,29,16.54,6.77,1.66,212.31,-999.0,-999.0
1995,4,30,15.98,7.51,2.15,175.69,-999.0,-999.0
1995,5,1,15.87,7.14,3.05,90.94,-999.0,-999.0
1995,5,2,15.55,5.98,3.09,114.56,-999.0,-999.0
1995,5,3,13.19,6.29,2.36,86.31,-999.0,-999.0
1995,5,4,11.19,5.0,3.69,133.62,-999.0,-999.0
1995,5,5,12.13,5.49,2.12,267.88,-999.0,-999.0
1995,5,6,12.06,5.92,3.0,208.12,-999.0,-999.0
1995,5,7,15.65,6.41,4.09,297.31,-999.0,-999.0
1995,5,8,18.56,7.02,4.91,293.19,-999.0,-999.0
1995,5,9,19.0,6.84,3.75,283.75,-999.0,-999.0
1995,5,10,19.61,7.63,2.59,264.19,-999.0,-999.0
1995,5,11,20.27,8.12,2.19,169.0,-999.0,-999.0
1995,5,12,20.29,9.09,4.53,107.06,-999.0,-999.0
1995,5,13,20.29,8.73,6.82,188.19,-999.0,-999.0
1995,5,14,16.72,6.35,5.18,255.5,-999.0,-999.0
1995,5,15,14.51,5.74,5.27,318.25,-999.0,-999.0
1995,5,16,13.61,5.25,2.45,265.38,-999.0,-999.0
1995,5,17,15.25,6.71,2.96,143.75,-999.0,-999.0
1995,5,18,16.56,7.51,2.8,147.31,-999.0,-999.0
1995,5,19,16.73,7.75,3.14,131.12,-999.0,-999.0
1995,5,20,18.46,8.0,2.24,138.75,-999.0,-999.0
1995,5,21,17.96,9.22,1.72,119.06,-999.0,-999.0
1995,5,22,18.87,9.83,1.88,129.12,-999.0,-999.0
1995,5,23,16.4,7.26,5.7,310.19,-999.0,-999.0
1995,5,24,18.4,7.45,2.58,279.56,-999.0,-999.0
1995,5,25,20.62,7.57,1.84,211.75,-999.0,-999.0
1995,5,26,21.66,8.12,1.86,145.69,-999.0,-999.0
1995,5,27,22.73,8.36,1.6,97.69,-999.0,-999.0
1995,5,28,23.89,8.91,1.73,166.81,-999.0,-999.0
1995,5,29,23.33,8.67,2.2,133.25,-999.0,-999.0
1995,5,30,23.81,9.28,1.28,140.75,-999.0,-999.0
1995,5,31,23.9,10.07,1.97,160.56,-999.0,-999.0
1995,6,1,23.09,9.4,3.99,133.19,-999.0,-999.0
1995,6,2,23.23,9.58,3.45,164.94,-999.0,-999.0
1995,6,3,22.88,7.2,3.96,320.75,-999.0,-999.0
1995,6,4,23.01,8.91,2.29,187.0,-999.0,-999.0
1995,6,5,23.59,9.7,1.98,150.44,-999.0,-999.0
1995,6,6,23.39,9.34,2.5,233.06,-999.0,-999.0
1995,6,7,22.98,10.25,2.59,123.81,-999.0,-999.0
1995,6,8,22.06,8.67,2.63,197.06,-999.0,-999.0
1995,6,9,21.87,9.09,2.06,127.56,-999.0,-999.0
1995,6,10,22.2,10.07,2.77,155.19,-999.0,-999.0
1995,6,11,22.63,10.74,2.7,137.12,-999.0,-999.0
1995,6,12,23.71,10.68,3.13,126.81,-999.0,-999.0
1995,6,13,25.13,10.8,2.2,167.25,-999.0,-999.0
1995,6,14,24.69,10.99,3.03,100.62,-999.0,-999.0
1995,6,15,26.38,10.74,2.61,124.62,-999.0,-999.0
1995,6,16,25.69,11.29,1.84,133.25,-999.0,-999.0
1995,6,17,24.68,11.72,1.64,116.44,-999.0,-999.0
1995,6,18,23.71,11.78,2.3,197.38,-999.0,-999.0
1995,6,19,23.15,10.62,1.51,164.12,-999.0,-999.0
1995,6,20,24.33,9.09,2.64,275.81,-999.0,-999.0
1995,6,21,24.44,9.77,2.09,182.69,-999.0,-999.0
1995,6,22,25.26,10.68,2.57,168.81,-999.0,-999.0
1995,6,23,25.93,10.74,2.57,202.88,-999.0,-999.0
1995,6,24,25.98,10.8,2.95,126.0,-999.0,-999.0
1995,6,25,27.19,10.38,2.33,184.75,-999.0,-999.0
1995,6,26,26.42,7.57,3.93,301.0,-999.0,-999.0
1995,6,27,25.54,7.93,3.41,289.75,-999.0,-999.0
1995,6,28,25.05,8.24,4.48,321.19,-999.0,-999.0
1995,6,29,25.79,10.13,3.89,265.38,-999.0,-999.0
1995,6,30,24.72,10.07,2.97,258.25,-999.0,-999.0
1995,7,1,24.22,10.01,2.55,160.0,-999.0,-999.0
1995,7,2,26.25,9.4,1.95,267.38,-999.0,-999.0
1995,7,3,27.05,10.38,2.35,148.94,-999.0,-999.0
1995,7,4,26.69,10.8,3.19,151.62,-999.0,-999.0
1995,7,5,28.59,11.29,1.53,119.88,-999.0,-999.0
1995,7,6,27.55,11.66,3.75,130.94,-999.0,-999.0
1995,7,7,25.35,11.96,4.45,107.19,-999.0,-999.0
1995,7,8,22.64,10.62,3.46,147.0,-999.0,-999.0
1995,7,9,23.69,8.42,3.23,186.62,-999.0,-999.0
1995,7,10,22.99,9.22,3.53,77.62,-999.0,-999.0
1995,7,11,25.09,9.95,2.55,221.69,-999.0,-999.0
1995,7,12,26.48,10.56,1.57,153.5,-999.0,-999.0
1995,7,13,26.69,11.29,1.52,195.75,-999.0,-999.0
1995,7,14,27.28,11.05,1.93,186.69,-999.0,-999.0
1995,7,15,27.27,11.29,1.88,168.06,-999.0,-999.0
1995,7,16,27.04,12.08,1.59,160.5,-999.0,-999.0
1995,7,17,26.33,12.08,2.2,191.44,-999.0,-999.0
1995,7,18,26.39,11.78,1.86,195.0,-999.0,-999.0
1995,7,19,24.08,12.39,2.7,233.69,-999.0,-999.0
1995,7,20,25.8,11.11,2.91,156.0,-999.0,-999.0
1995,7,21,26.76,10.19,2.8,105.25,-999.0,-999.0
1995,7,22,26.19,8.48,3.11,126.69,-999.0,-999.0
1995,7,23,26.35,8.85,2.09,118.62,-999.0,-999.0
1995,7,24,27.56,9.34,2.28,139.56,-999.0,-999.0
1995,7,25,28.3,9.89,2.04,129.44,-999.0,-999.0
1995,7,26,28.7,10.86,2.08,130.69,-999.0,-999.0
1995,7,27,27.69,12.33,2.91,138.19,-999.0,-999.0
1995,7,28,26.76,12.08,2.53,155.5,-999.0,-999.0
1995,7,29,26.5,11.35,3.27,164.38,-999.0,-999.0
1995,7,30,24.03,10.99,3.14,145.5,-999.0,-999.0
1995,7,31,24.83,10.8,2.39,152.69,-999.0,-999.0
1995,8,1,24.19,11.9,1.75,163.38,-999.0,-999.0
1995,8,2,24.73,11.72,1.69,298.75,-999.0,-999.0
1995,8,3,23.82,12.15,2.08,179.06,-999.0,-999.0
1995,8,4,25.3,9.22,2.53,316.19,-999.0,-999.0
1995,8,5,26.19,8.36,2.3,306.75,-999.0,-999.0
1995,8,6,26.53,8.24,2.95,282.06,-999.0,-999.0
1995,8,7,26.09,8.61,1.85,173.25,-999.0,-999.0
1995,8,8,26.9,9.7,1.62,148.75,-999.0,-999.0
1995,8,9,27.76,10.99,1.88,183.62,-999.0,-999.0
1995,8,10,26.86,11.78,2.59,135.75,-999.0,-999.0
1995,8,11,25.9,10.5,1.52,217.69,-999.0,-999.0
1995,8,12,25.33,8.0,1.9,162.38,-999.0,-999.0
1995,8,13,23.48,8.85,3.32,132.62,-999.0,-999.0
1995,8,14,23.56,8.54,2.53,133.69,-999.0,-999.0
1995,8,15,23.8,10.19,2.8,160.44,-999.0,-999.0
1995,8,16,22.98,10.56,1.5,197.56,-999.0,-999.0
1995,8,17,23.72,9.64,2.64,130.06,-999.0,-999.0
1995,8,18,24.45,9.7,2.58,141.06,-999.0,-999.0
1995,8,19,25.74,10.44,2.22,139.56,-999.0,-999.0
1995,8,20,25.55,10.44,1.73,167.44,-999.0,-999.0
1995,8,21,24.78,10.5,1.27,235.0,-999.0,-999.0
1995,8,22,24.06,10.25,2.03,220.12,-999.0,-999.0
1995,8,23,25.4,10.13,2.27,103.06,-999.0,-999.0
1995,8,24,24.98,11.35,2.82,149.62,-999.0,-999.0
1995,8,25,24.54,12.33,2.62,165.56,-999.0,-999.0
1995,8,26,26.01,11.66,3.41,218.38,-999.0,-999.0
1995,8,27,25.19,9.52,4.24,321.75,-999.0,-999.0
1995,8,28,24.07,9.4,3.56,175.44,-999.0,-999.0
1995,8,29,24.2,11.54,4.89,210.0,-999.0,-999.0
1995,8,30,19.48,5.98,5.41,286.44,-999.0,-999.0
1995,8,31,20.4,10.01,4.98,130.31,-999.0,-999.0
1995,9,1,18.29,7.32,4.77,316.75,-999.0,-999.0
1995,9,2,18.76,6.65,3.21,322.0,-999.0,-999.0
1995,9,3,19.36,7.39,2.34,273.19,-999.0,-999.0
1995,9,4,21.4,9.52,2.59,203.06,-999.0,-999.0
1995,9,5,22.55,11.6,2.01,179.0,-999.0,-999.0
1995,9,6,23.33,13.0,2.38,216.81,-999.0,-999.0
1995,9,7,21.3,9.58,3.54,309.19,-999.0,-999.0
1995,9,8,21.68,8.73,2.34,247.38,-999.0,-999.0
1995,9,9,23.26,10.8,2.77,232.38,-999.0,-999.0
1995,9,10,21.05,7.87,5.84,328.69,-999.0,-999.0
